Element,delete flag,Entity Name,Original Alternative Entity Name  (Including entity names are duplicates),col-C,col-D,Actor /Role /Service,Hierarchy Conceptual/ Logical/ Physical,Role (from role tab),Type,NIST (Legacy) Domain ,Manufacturer-CIM (IEC #) Type of Zone,Description,"Actor/ type
or
Role",Related Role,Business function/ service,AMI Systems,Electric Transportaion,Distribution Grid Mgmt,WASA,Demand Response,Electric Storage,Conceptual Model,Reference Diagram,NAESB,CSWG NISTIR 7628,CSWG Actors,IEEE P2030 Draft 3.0  ,EIS,EU Commission,EU WGSP Vers 0.5,SGAC Conceptual Arch,IEC TC57-WG19 DER Actor/Roles,EU SC-CG WP1 ,ENTSO-E role model,AhG Charging,IEC61968 IRM,IEC SG3,GUC,DKE Repository,SMCG,EG3,EU Source:unknown,New,Note,US/EU Input,There are several entities that more concisely describe this concept - this should show up as a column B item for traceability
1,,(Energy) Dispatcher,Eur: Dispatcher,,,Role,Conceptual,,Organizational Entity,Transmission,,Actor Role in charge of dispatching Electricity (usually at the transmission level),role,transmission capacity allocator ?,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
2,,Access Point (ie. Data Aggregation Point),IE: Distribution Access Point,,,Actor,Logical,Processor,Device,Distribution,,Collects and aggregates all data from/to end devices through Neighbourhood and/or Field Area and/or AMI networks. These devices are IEEE 802.11n compliant. They interface the Backhaul WAN.,system actor,metered data collector,,,,,,,,,,,,,,,,,,,, , , , , , , , , , ,,US,
3,,Account Management,,,,Service,Conceptual,Manager,Organization,Service Provider,,Business function or service that manages supplier and customer business accounts. ,,,"function/
service",,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
4,,Account Management System,,,,Actor,Logical,Manager,Application,Service Provider,,Business function or service that manages supplier and customer business accounts. ,system actor,Multiple,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
5,,Actuator,,,,Role,Conceptual,Actuator,Device,Cross Cutting,Process,"An actuator is a transducer that accepts a signal and converts it to a physical action. In other words, an actuator causes an action to occur relating to the data that was sent to it. The are used to remotely operate devices such as switches and circuit-breakers.",system actor,grid operator,,,,,,,,,,,,,,,,,,,, , , , , , , , , , ,,US,
6,,Aggregation Resource  ,N: Resource,,,Zone,Conceptual,Processor,Organizational Entity,Market,Market,A market-dependent group of Response Method Aggregations that represents a dispatchable entity.,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
7,,Aggregator,RM: Energy Services Company; NR: Aggregator / Retail Energy Provider; EU: Supplier; xx: Energy Services Aggregator ,,,Role,Conceptual,Manager,Organization,Service Provider,Enterprise,"The role that combines curtailment, demand or DER of two or more customers into a single purchasing unit to negotiate the purchase or the sale of electricity to retail electric providers. Aggregators may not sell or take title to electricity. Retail electric providers are not aggregators.",role,,, X,X,X,X,X,X,X,X,,X,,,,X,,,X,,,,,,,,,,,,,US,
8,,AMI Head-end,,,EU-WGSP: Head End System (HES),Actor,Logical,Processor,Device,Operations,,"Provides the Interface to the Advanced Metering Infrastructure and manages the information exchanges between third party systems. The head-end is the command application for AMI solution. Optionally it manages required or desired meter reading schedules, and enacts other meter and communication-related commands. Most Head-ends also contain a vendor specific extension like a Meter Data Master (MDMS) and Validates, edits, and estimates (VEE) meter calculations.",system actor,metered datacollector,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
9,,AMI Operator,EU: Head End System (HES) Operator,,,Actor,Logical,Manager,Role,Operations,,General operator of the AMI system,business actor,metered datacollector,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,US,
10,,AMI Service Engineer,,,,Actor,Logical,Maintainer,Person,Operations,,"External actor responsible for the installation, operation, maintenance and de-installation of the system components. It may access, if properly identified and authorized, those components either directly, via local operation and maintenance interfaces, or from a system component from a higher hierarchical level (e.g. meters may be accessed for maintenance purposes via NNAPs or the HES).",business actor,metered datacollector,,,,,,,,, , ,,, ,,,X,,,,,,,,,,,,,,,US,
