entity	index	name	label	actorOrService	hierarchy	description	originalAlternativeName	type	nistDomain	cimZone	euWp1ActorOrRole	euWp1RelatedRole	euWp1FunctionOrService
entity:0.0-0	0	0.0	0.0	-		Combination of load and generation object devices							
entity:0.0-1	1	0.0	0.0	-		â€¢  Metrology functions including the conventional meter display (register or index) that are under legal metrological control. When under metrological control, these functions shall meet the essential requirements of the MID;							
entity:EnergyDispatchServices-2	2	Energy Dispatch Services	Energy Dispatch Services	ServiceCompostion	Conceptual - 1st	Services in charge of dispatching Electricity (e.g. transmission level, distribution, etc)	Eur: Dispatcher	Organizational Entity	Transmission/Distribution or all		role	transmission capacity allocator ?	
entity:NeedMoreInformation-3	3	{Need more information}	{Need more information}	Service	Conceptual	{Need more information}		Automation Service	Service Provider				
entity:Volt-VarControl-4	4	Volt/Var Control	Volt/Var Control	Service	Conceptual								
entity:Demand-Response-5	5	Demand/Response	Demand/Response	Service	Conceptual								
entity:DirectLoadToControl-6	6	direct load to control	direct load to control	Service	Conceptual								
entity:AbnormalOperationsSupport-7	7	Abnormal operations support	Abnormal operations support	Service	Conceptual	Provide support for dispatch of attached resources to operate them in abnormal situations		Automation Service	Operations				
entity:AccessControlManagement-8	8	Access Control Management	Access Control Management	Service	Conceptual	This service manages smart grid component access control processes		Business Service	Cross-cutting				
entity:AccessPoint-ie.DataAggregationPoint--9	9	Access Point (ie. Data Aggregation Point)	Access Point (ie. Data Aggregation Point)	Actor	Logical	Collects and aggregates all data from/to end devices through Neighbourhood and/or Field Area and/or AMI networks. They interface the Backhaul WAN.	IE: Distribution Access Point	Device	Distribution		system actor	metered data collector	
entity:AccountManagement-10	10	Account Management	Account Management	ServiceCompostion	Conceptual	Business function or service that manages supplier and customer business accounts.		Organization	Service Provider				function/ service
entity:AccountManagementSystem-11	11	Account Management System	Account Management System	Actor	Logical	Software that supports the business function or service that manages supplier and customer business accounts.		Application	Service Provider		system actor	Multiple	
entity:Accounting-12	12	Accounting	Accounting	Service	Conceptual	A service that tracks the activity of a particular entity.		Automation Service	Cross-cutting				
entity:AccountingPointResponsible-13	13	AccountingPoint responsible	AccountingPoint responsible	Role		Responsible for the maintenance and mapping between the logical registers and the accounting points in compliance with local market rules							
