[subject]	name	classification
<http://sv.cmu.edu/7.0/entity#0.0-0>	0.0	-
<http://sv.cmu.edu/7.0/entity#0.0-1>	0.0	-
entity:AMIOperations-33	AMI operations	generic role
entity:AMIService-34	AMI Service 	ServiceComposition 
entity:AMIService-35	AMI service 	generic role
entity:AMISystem-36	AMI System	System
entity:AccountManagement-11	Account Management	ServiceCompostion
entity:AccountingPointResponsible-14	AccountingPoint responsible	Role
entity:ActorA-externalActor--16	Actor A (external actor) 	- 
entity:ActorB-externalActor--18	Actor B (external actor) 	- 
entity:AggregationResource-25	Aggregation Resource  	Zone
entity:Aggregator-27	Aggregator	Role
entity:Aggregator-28	Aggregator	Role
entity:Aggregator-30	Aggregator 	Role
entity:AncillaryServicesProviders-44	Ancillary Services providers	Role
entity:Appliances-48	Appliances	System
entity:AreaEnergyServices-50	Area Energy Services	Role
entity:AssetInvestmentPlanning-55	Asset Investment Planning	Role
entity:AssetInvestmentPlanning-AMAIP--56	Asset investment planning (AMAIP) 	Application
entity:AssetManagementSystem-57	Asset Management System	Application
entity:BalanceResponsibleParty-78	Balance Responsible Party	Role
entity:BalanceSupplier-79	Balance Supplier	Role
entity:BalanceSupplier-80	Balance Supplier	Role
entity:BatteryServiceOperator-85	Battery Service Operator	Role
entity:BillingAgent-89	Billing Agent	Role
entity:BlockEnergySupplier-96	Block energy supplier	Role
entity:BuildingManagementSystem-100	Building Management System	System
entity:BuildingOperations-101	Building operations	Role
entity:CEM-115	CEM 	- 
entity:CEMSCustomerEnergyManagementSystem-116	CEMS Customer Energy Management System 	- 
entity:CEMSUser-117	CEMS-user 	- 
entity:CallTaker-108	Call Taker	Person
entity:CapacityTrader-114	Capacity Trader	Role
entity:ChargeServiceProviderCSP-118	Charge Service Provider, CSP 	Role 
entity:ChargeSpotAreaOwner-119	Charge Spot Area Owner	Role
entity:ChargeSpotOperationsCSO-120	Charge Spot Operations, CSO	- 
entity:ChargeSpotOperationsCSO-121	Charge Spot Operations, CSO	-
entity:ChargeSpotOperationsCSO-122	Charge Spot Operations, CSO	- 
entity:ChargeSpotOperationsCSO-123	Charge Spot Operations, CSO	- 
entity:ChargingSpotCS-124	Charging Spot, CS	-
entity:ChargingSpotCS-125	Charging Spot, CS 	- 
entity:ChargingSpotCS-126	Charging Spot, CS 	- 
entity:ClosedLoopController-145	Closed-Loop Controller	Application
entity:ClosedLoopController-146	Closed-Loop Controller 	Application 
entity:ComponentManufacturer-169	Component manufacturer 	Role 
entity:Construction-MCCON--185	Construction (MC-CON)	Application
entity:ConstructionSupervision-186	Construction Supervision	Role
entity:ConstructionSupervision-NECSP--187	Construction supervision (NE-CSP)	Application
entity:Consumer-188	Consumer	Role
entity:Consumer-189	Consumer	Role
entity:Consumer-190	Consumer 	Role 
entity:Consumer-191	Consumer 	Role 
entity:Consumer-192	Consumer 	- 
entity:Consumer-193	Consumer 	Role 
entity:ConsumptionResponsibleParty-194	Consumption Responsible Party	Role
entity:ConsumptionResponsibleParty-195	Consumption Responsible Party	Role
entity:ControlAreaServices-204	Control Area Services	Role
entity:ControlAreaServices-205	Control Area Services	Role
entity:ControlBlockServices-206	Control Block Services	Role
entity:ControlCenter-207	Control Center 	System 
entity:ControlCenter-208	Control Center 	System 
entity:CoordinationCenterServices-216	Coordination Center Services	ServiceComposition 
entity:CoordinationCenterServices-217	Coordination Center Services	Role
entity:CriticalLoad-224	Critical Load	Service (or Service-Collection if the Description had more detail)
entity:CriticalLoads-225	Critical Loads	Service (or Service-Collection if the Description had more detail)
entity:Customer-230	Customer	Role
entity:Customer-231	Customer 	- 
entity:CustomerEnergyManagementSystem-CEMS--235	customer Energy Management System ( CEMS) 	- 
entity:CustomerEnergyManagementSystem-CEMS--236	Customer Energy Management System (CEMS) 	- 
entity:CustomerEnergyManagementSystem-CEMS--237	Customer Energy Management System (CEMS) 	- 
entity:CustomerEnergyServices-238	Customer Energy Services	-
entity:CustomerEnergyServices-239	Customer Energy Services	- 
entity:CustomerInformationSystem-243	Customer Information System	System
entity:CustomerPortal-248	Customer Portal	Application
entity:CustomerService-252	Customer Service  	ServiceComposition 
entity:CustomerService-CSCSRV--251	Customer service (CS-CSRV)	Application
entity:CustomerSupport-254	Customer Support	Role
entity:CustomerSupport-CS--255	Customer Support (CS)	System
entity:DER-282	DER	-
entity:DER-283	DER 	- 
entity:DER-284	DER 	- 
entity:DERManagementSystem-291	DER Management System	System
entity:DSO-391	DSO 	- 
entity:DSOSystem-395	DSO System 	Role 
entity:DSOSystem-396	DSO System 	Role 
entity:DataAggregator-256	Data Aggregator	System
entity:DataAggregator-257	Data Aggregator 	System 
entity:DemandResponseManagementSystem-270	Demand Response Management System	System
entity:DemandResponseServiceProvider-273	Demand Response Service Provider	Role
entity:Design-MCDGN--305	Design (MC-DGN)	Application
entity:Devices-323	Devices 	- 
entity:Display-331	Display 	- 
entity:Display-332	Display 	- 
entity:DistributedGeneration-340	Distributed Generation 	- 
entity:DistributionManagementSystem-358	Distribution Management System	System
entity:DistributionNetworkServicesDNO-362	Distribution Network Services DNO	Role
entity:DistributionProtectionAndControlDevices-368	Distribution Protection and Control Devices	Role
entity:DistributionProtectionDevices-369	Distribution Protection Devices	Role
entity:DistributionSystemServices-378	Distribution System Services	Role
entity:DistributionSystemServices-DSO--379	Distribution System Services (DSO)	Role
entity:DistributionSystemServices-DSO--381	Distribution System Services (DSO) 	Role 
entity:DistrubutionIED-387	Distrubution IED 	- 
entity:EMobilityServiceProvider-eMSP--432	e-Mobility Service Provider (eMSP) 	- 
entity:ESCOEnergyServicesCompany-499	ESCO Energy Services Company 	- 
entity:EVSE-420	EVSE	- 
entity:El.Vehicle-EV--402	El. Vehicle (EV) 	Role 
