entity	val	index	name	label	actorOrService	hierarchy	description	aDWPOriginalFocus	aMISystems	actorTypeOrRole	ahGCharging	archiMateTerminologyLayers	businessFunctionService	cSWGActors	cSWGNISTIR7628	clusterLabel	colC	colD	conceptualModel	dKERepository	demandResponse	distributionGridMgmt	eG3	eIS	eNTSOERoleModel	eUCommission	eUSCCGWP1	eUSourceunknown	eUWGSPVers05	electricStorage	electricTransportaion	gUC	harmonizationNotes	homeworkBlocks	iEC61968IRM	iECSG3	iECTC57WG19TC8WG6DERActorRoles	iEEEP2030Draft3	manufacturerCIMIECTypeOfZone	nAESB	nISTLegacyDomain	new	note	notes	originalAlternativeEntityNameIncludingEntityNamesAreDuplicates	referenceDiagram	relatedRole	rolefromRoleTab	rowActionFlagDeletedHarmonizeh	sGACConceptualArch	sMCG	type	uSEUInput	wASA
entity:AdvancedMeteringInfrastructure-AMI--21	X	21	Advanced Metering Infrastructure (AMI)	Advanced Metering Infrastructure (AMI)	Actor	Physical										DER																					X						Lvl 3 REP and ICT											
entity:Aggregator-26	X	26	Aggregator	Aggregator	Role	Conceptual	Third party that combines curtailment, demand or DER of two or more customers into a single purchasing unit to negotiate the purchase or the sale of electricity to retail electric providers. Aggregators may not sell or take title to electricity. Retail electric providers are not aggregators.	X	 X	role					X	p; DER			X	X	X	X				X				X	X		H1 & H2 should be discussed with originating team	07:00:00			X		Enterprise		Service Provider		Lvl 3 REP and ICT; Distribution Grid Management/Microgrid		RM: Energy Services Company; NR: Aggregator / Retail Energy Provider; EU: Supplier; xx: Energy Services Aggregator	X		Manager	H1			Organization	US, EU	X
entity:AreaEnergyServices-44	X	44	Area Energy Services	Area Energy Services	ServiceComposition	Conceptual	ServiceComposition offering services regarding the energy management of a specific location or geographical area. These services could be dedicated to the charge management of electric vehicles as well as the energy management of the location, like tertiary buildings (in such a case the charging of EVs could be included in a local optimization).An Area Energy Service Operator could, at the same time, offer EV charging Energy (e-Mobility) Services (user profile and billing could be integrated in its service offer). Additional information: an Area Energy Service Operator could be considered as an Aggregator for specific services, linked to the charge management. Also, an EPS that serves Local EPSs				X					DER																	last sentence from duplicate				X						AhG Charging; Lvl 0 EPS						H				EU	
entity:BalancingAuthority-market--73	X	73	Balancing Authority (market)	Balancing Authority (market)	ServiceComposition	Conceptual										DER																	unclear if rows 76 & 77 are different	07:00:00			X						Lvl 5 Trans. And Market											
entity:BatteryEnergyStorage-74	X	74	Battery energy storage	Battery energy storage	Actor	Physical										DER																					X						Lvl 1 DER											
entity:BiomassPlant-82	X	82	Biomass plant	Biomass plant	Actor	Physical										DER																					X						Lvl 1 DER											
entity:BuildingDEREMS-BDEMS--87	X	87	Building DER EMS (BDEMS)	Building DER EMS (BDEMS)	Actor	Logical	System that manages the settings and dispatch of DER systems within a building									DER																		07:00:00			X						Lvl 2 FDEMS											
entity:CombinedHeatAndPower-CHP--130	X	130	Combined Heat and Power (CHP)	Combined Heat and Power (CHP)	ServiceComposition	Physical	DER system whose primary purpose is creation of heat but can also provide electrical energy from the heat creation capability. In some circumstances, electrical energy is the primary purpose with heat as a secondary purpose									DER																					X						Lvl 1 DER											
entity:CommunicationNodes-139	X	139	Communication Nodes	Communication Nodes	Actor	Physical										DER																		07:00:00			X						Lvl 3 REP and ICT											
entity:CriticalLoad-202	X	202	Critical Load	Critical Load	ServiceComposition	Logical	Loads within a Local EPS having the highest priority of service.  These loads are served at the expense of all other loads.									DER																					X						Lvl 1 DER						h					
